742 Silver Oak Dr, Tehachapi, CA, 93561   ,35.1295913,-118.4598666
22720 Lake Dr, Tehachapi, CA, 93561   ,35.1502216,-118.4803973
21301 Golden Hills Blvd, Tehachapi, CA, 93561   ,35.1288856,-118.4864647
21900 Old Well Rd, Tehachapi, CA, 93561   ,35.1390114,-118.3100073
400 Woodrow St #APT 5, Taft, CA, 93268   ,35.1453293,-119.4560065
3608 Alice Meadows Ct, Bakersfield, CA, 93313   ,35.2794247,-119.0425151
24405 San Juan Dr, Tehachapi, CA, 93561   ,35.174939,-118.633738
21241 Golden Hills Blvd, Tehachapi, CA, 93561   ,35.1278667,-118.4861944
7633 Lordsburg Dr, Bakersfield, CA, 93309   ,35.3210286,-119.087741
706 B St, Taft, CA, 93268   ,35.1361022,-119.4763337
1512 El Toro Dr, Bakersfield, CA, 93304   ,35.3407976,-119.0160551
Rawhide, Tehachapi, CA, 93561   ,35.0826931,-118.6241078
3003 Peerless Ave, Bakersfield, CA, 93308   ,35.4335561,-119.0204305
8700 Willow Spring Ct, Bakersfield, CA, 93312   ,35.3664809,-119.0990341
21405 Indian Wells Dr, Tehachapi, CA, 93561   ,35.149352,-118.5106868
21255 Madre St #C, Tehachapi, CA, 93561   ,35.1267013,-118.4900686
402 E Woodrow St, Taft, CA, 93268   ,35.1439285,-119.4436638
600 N Dennison Rd #15, Tehachapi, CA, 93561   ,35.13246970000001,-118.4321335
1025 Hickory Ave, Tehachapi, CA, 93561   ,35.1200045,-118.4618285
520 Olive St #C, Bakersfield, CA, 93304   ,35.3627521,-119.0369414
420 N Mill St, Tehachapi, CA, 93561   ,35.135746,-118.4509919
626 D St, Taft, CA, 93268   ,35.1343965,-119.4746829
6805 Klamath Way, Bakersfield, CA, 93309   ,35.3291336,-119.0779417
3450 Grassotti Ct, Bakersfield, CA, 93309   ,35.330213,-119.0407404
Willow Pass Dr, Tehachapi, CA, 93561   ,35.1725097,-118.638903
21430 Mission St, Tehachapi, CA, 93561   ,35.1310694,-118.4927601
11506 Palm Ave, Bakersfield, CA, 93312   ,35.3764414,-119.1313634
1200 38th St #9, Bakersfield, CA, 93301   ,35.3947208,-119.0159386
1329 Fair Oak Dr, Tehachapi, CA, 93561   ,35.1139622,-118.4435314
6701 Auburn St, Bakersfield, CA, 93306   ,35.397736,-118.921089
609 Buena Vista St, Taft, CA, 93268   ,35.1316366,-119.456954
500 Plover Ct, Bakersfield, CA, 93309   ,35.3573809,-119.0774925
811 Quincy St, Bakersfield, CA, 93305   ,35.3844829,-118.9879079
503 S Mill St, Tehachapi, CA, 93561   ,35.1273653,-118.45357
22384 Zurich Dr, Tehachapi, CA, 93561   ,35.0834136,-118.5232754
700 New Stine Rd #18, Bakersfield, CA, 93309   ,35.34838939999999,-119.0607898
14305 Tierra Blanca Ave, Bakersfield, CA, 93314   ,35.3528599,-119.1608923
7719 Snowbird St, Bakersfield, CA, 93307   ,35.2846843,-119.0204654
24400 Willow Pass Dr, Tehachapi, CA, 93561   ,35.1739019,-118.6396284
400 N Stine Rd, Bakersfield, CA, 93309    ,35.3620562,-119.0474701
21230 Golden Hills Blvd #A, Tehachapi, CA, 93561   ,35.1276734,-118.4856436
10425 Glenn St, Bakersfield, CA, 93312   ,35.3772197,-119.1184484
26620 Columbia Way, Tehachapi, CA, 93561   ,35.1606412,-118.6035733
1718 Panama Ln #701, Bakersfield, CA, 93307   ,35.296963,-119.0221129
6409 Castleford St, Bakersfield, CA, 93313   ,35.2966897,-119.0421514
Po Box 551, Taft, CA, 93268   ,35.1424671,-119.4565078
21192 Old Town Rd, Tehachapi, CA, 93561   ,35.1261345,-118.5091359
720 Way Ter #54, Bakersfield, CA, 93304   ,35.350606,-119.011292
29 Emmons Park Dr, Taft, CA, 93268   ,35.1492183,-119.4601285
19813 Moon Dr, Tehachapi, CA, 93561   ,35.1445472,-118.4825657
716 Taylor St, Taft, CA, 93268   ,35.1621164,-119.4598485
11726 Stratosphere Ave, Bakersfield, CA, 93312   ,35.3938236,-119.1332035
21011 Sierra Vista Dr, Tehachapi, CA, 93561   ,35.1248541,-118.4741357
24181 Willow Pass Dr, Tehachapi, CA, 93561   ,35.1694711,-118.6358455
620 Hudson Dr, Bakersfield, CA, 93307   ,35.2768089,-119.0111573
601 Douglas St #112B, Bakersfield, CA, 93308   ,35.4256389,-119.0325363
1942 Juniper Ct, Bakersfield, CA, 93309   ,35.3368648,-119.0439698
Knotts, Bakersfield, CA, 93301   ,35.3912974,-118.9851826
811 Quincy St, Bakersfield, CA, 93305    ,35.3844829,-118.9879079
322 E Woodrow St, Taft, CA, 93268   ,35.1438956,-119.4442384
309 Naylor Ave, Taft, CA, 93268   ,35.1340568,-119.4577292
25101 Bear Valley Rd, Tehachapi, CA, 93561   ,35.14726600000001,-118.5760334
400 Wilson St, Arvin, CA, 93203   ,35.2124663,-118.8289329
813 Townsley Ave, Bakersfield, CA, 93304   ,35.3487267,-119.0114173
29941 Sunland Way, Tehachapi, CA, 93561   ,35.150297,-118.664194
3409 Edison Hwy, Bakersfield, CA, 93307   ,35.3643658,-118.9425615
14305 Tierra Blanca Ave, Bakersfield, CA, 93314    ,35.3528599,-119.1608923
700 46th St, Bakersfield, CA, 93301    ,35.4006464,-119.0104231
4015 Scenic River Ln, Bakersfield, CA, 93308   ,35.3961246,-119.0899906
716 Espee St, Bakersfield, CA, 93301   ,35.3841287,-119.0094393
706 Mulberry St, Tehachapi, CA, 93561   ,35.124585,-118.4558742
6 Village Ln #12, Tehachapi, CA, 93561   ,35.167599,-118.658792
7633 Lordsburg Dr, Bakersfield, CA, 93309    ,35.3210286,-119.087741
21410 Golden Hills Blvd, Tehachapi, CA, 93561   ,35.1304195,-118.4865698
22904 Woodford Tehachapi Rd, Tehachapi, CA, 93561   ,35.152828,-118.4941465
11105 Cypress Falls Ave, Bakersfield, CA, 93312    ,35.4243929,-119.1261158
813 La Puente Dr, Bakersfield, CA, 93309    ,35.3468968,-119.0732429
22202 Mccarthy Dr, Tehachapi, CA, 93561   ,35.1423629,-118.5018833
11601 Silver Crown Ave, Bakersfield, CA, 93312   ,35.4153927,-119.1311135
Kelton, Tehachapi, CA, 93561   ,35.1220918,-118.454432
9903 Rancho Verde Dr, Bakersfield, CA, 93311   ,35.3197819,-119.1128254
516 Fillmore St, Taft, CA, 93268   ,35.1588958,-119.4608912
1301 New Stine Rd #A1, Bakersfield, CA, 93309   ,35.3419404,-119.0621298
400 White Ln, Bakersfield, CA, 93307   ,35.3181794,-119.0063474
925 Quincy St, Bakersfield, CA, 93305   ,35.3839343,-118.9858124
3901 Navajo Ave, Bakersfield, CA, 93309   ,35.349168,-119.045754
319 Spectacular Bid Dr, Bakersfield, CA, 93307   ,35.2805182,-118.9997477
5004 Sea Star Ln, Bakersfield, CA, 93309    ,35.3346139,-119.0576525
906 Union Ave, Bakersfield, CA, 93307   ,35.3662004,-119.0024141
3535 S H St #49, Bakersfield, CA, 93304    ,35.3226946,-119.0216702
8118 Fighting Irish Dr, Bakersfield, CA, 93313   ,35.2805172,-119.0501976
619 Buena Vista St, Taft, CA, 93268   ,35.1315993,-119.4563827
222 Sequoia Dr, Bakersfield, CA, 93308   ,35.4073356,-119.0340528
26671 Trotter Dr, Tehachapi, CA, 93561   ,35.136017,-118.6026278
827 Pacific St, Bakersfield, CA, 93305    ,35.3832177,-118.9875668
24300 Sorrel Ct, Tehachapi, CA, 93561   ,35.171061,-118.6178413
6019 Pearl Ridge Dr, Bakersfield, CA, 93313   ,35.2745928,-119.0690614
7124 Drift Creek St, Bakersfield, CA, 93313   ,35.2968926,-119.0816915
27900 Cummings Valley Rd, Tehachapi, CA, 93561   ,35.125757,-118.6275502
104 W D St, Tehachapi, CA, 93561   ,35.1287411,-118.4488601
903 Wilson Ave, Bakersfield, CA, 93308   ,35.4170811,-119.0395147
30681 Sheeptrail Ct, Tehachapi, CA, 93561   ,35.1590733,-118.6747771
6706 Chinook Falls Dr, Bakersfield, CA, 93312   ,35.4208379,-119.1207771
1805 Isil Ave, Bakersfield, CA, 93304   ,35.3043468,-119.0222229
23961 Breech Ct, Tehachapi, CA, 93561   ,35.1656422,-118.6378509
2600 Way Ter, Bakersfield, CA, 93304   ,35.3506641,-119.0325135
512 Tyler St, Taft, CA, 93268   ,35.158473,-119.4572418
708 Mallory Ct, Taft, CA, 93268   ,35.1369872,-119.4767113
10200 Ashbourne Dr, Bakersfield, CA, 93312    ,35.3598448,-119.1165968
20200 Mini Ct, Tehachapi, CA, 93561   ,35.134277,-118.49029
21611 Foothill Dr, Tehachapi, CA, 93561   ,35.1330621,-118.4877421
30617 Buckskin Dr, Tehachapi, CA, 93561   ,35.0898857,-118.6768146
2600 Brookside Dr #46, Bakersfield, CA, 93311    ,35.3318145,-119.0948261
7508 Bonanza Dr, Bakersfield, CA, 93307    ,35.3375509,-118.9204975
224 Northrup St, Bakersfield, CA, 93307   ,35.3587131,-118.9899429
108 Brandon Ave, Taft, CA, 93268   ,35.1380611,-119.4779125
501 Rose Ave, Taft, CA, 93268   ,35.1316254,-119.4590229
1513 Fairview Rd, Bakersfield, CA, 93307   ,35.3028873,-119.0193742
24220 Willow Pass Dr, Tehachapi, CA, 93561   ,35.1705658,-118.6351163
828 Philippine St, Taft, CA, 93268   ,35.1352965,-119.4806321
Po Box 2046, Tehachapi, CA, 93581   ,35.13,-118.45
9903 Rancho Verde Dr, Bakersfield, CA, 93311    ,35.3197819,-119.1128254
Bank, Bakersfield, CA, 93304   ,35.3189727,-119.0268713
1626 19th St #14, Bakersfield, CA, 93301   ,35.3765106,-119.0208119
1809 Doolittle Ave, Bakersfield, CA, 93304   ,35.3351625,-119.0233297
503 Mulberry St, Tehachapi, CA, 93561   ,35.1274339,-118.4563989
362 Apple Way, Tehachapi, CA, 93561   ,35.1266526,-118.4437368
400 White Ln, Bakersfield, CA, 93307    ,35.3181794,-119.0063474
2801 Loch Fern Ct, Bakersfield, CA, 93306    ,35.3988757,-118.9416972
1015 Monterey St, Bakersfield, CA, 93305   ,35.3794467,-118.9859979
9428 Seager Ct, Bakersfield, CA, 93311    ,35.3167316,-119.1071
11707 Aurora Valley Ave, Bakersfield, CA, 93312   ,35.4188781,-119.1325447
3800 Piedmont Ave, Bakersfield, CA, 93312   ,35.3946545,-119.1393595
21276 White Pine Dr, Tehachapi, CA, 93561   ,35.1540862,-118.5080515
1005 Candlemas Ct, Bakersfield, CA, 93312   ,35.3678756,-119.1318632
8516 Haupt Ave, Bakersfield, CA, 93306   ,35.3633723,-118.9091686
24601 Paramount Dr, Tehachapi, CA, 93561   ,35.181112,-118.6482421
9507 Orchard Grass Ct, Bakersfield, CA, 93313   ,35.268421,-119.0599252
1107 E 10th St, Bakersfield, CA, 93307   ,35.366401,-118.9903522
30150 Garces Ct, Tehachapi, CA, 93561   ,35.1693492,-118.6669037
6409 Castleford St, Bakersfield, CA, 93313    ,35.2966897,-119.0421514
29800 Butterfield Way, Tehachapi, CA, 93561   ,35.1505522,-118.6602505
19225 Jacks Hill Rd, Tehachapi, CA, 93561   ,35.0989776,-118.6568099
601 Douglas St, Bakersfield, CA, 93308   ,35.4256389,-119.0325363
632 Cherry Ln #H, Tehachapi, CA, 93561   ,35.1206543,-118.4592673
20140 Park Rd #D, Tehachapi, CA, 93561   ,35.1278712,-118.4884263
716 S 10th St, Taft, CA, 93268   ,35.1337022,-119.464563
1021 S Green St, Tehachapi, CA, 93561   ,35.119701,-118.447652
19066 Conway Ave, Tehachapi, CA, 93561   ,35.1264893,-118.4690829
801 Nord Ave, Bakersfield, CA, 93314    ,35.3655221,-119.1993165
